total_war_mobilization_desc;you get a mob stack, and you get a mob stack!;;;;;;;;;x
early_game_reform_desire_militancy;Militancy for reform desire (early game);;;;;;;;;x
early_midgame_reform_desire_militancy;Militancy for reform desire (early midgame);;;;;;;;;x
late_midgame_reform_desire_militancy;Militancy for reform desire (late midgame);;;;;;;;;x
late_game_reform_desire_militancy;Militancy for reform desire (late game);;;;;;;;;x
unciv_can_mobilize_yay;Unciv mobilization buff;;;;;;;;;x
total_war;Total war;;;;;;;;;x
total_war_desc;Full siege me down;;;;;;;;;x
EGY_1751;Alexandria;;;;;;;;;x
requesting_cease_fire;Requesting Cease Fire;;;;;;;;;x
shock_infantry_activation;Shock Infantry;;;;;;;;;x
guard_activation;Guards;;;;;;;;;x
infantry_activation;Infantry;;;;;;;;;x
MOR_1695;Ifni;;;;;;;;;x
FRA_1786;Inner Senegal;;;;;;;;;x
FRA_1880;North Guinea;;;;;;;;;x
FRA_1879;South Guinea;;;;;;;;;x
FRA_1889;Inner Liberia;;;;;;;;;x
FRA_1908;Cape Coast;;;;;;;;;x
FRA_1923_two;Lagos;;;;;;;;;x
POR_2000;Congolese Coast;;;;;;;;;x
ENG_2037;Kenya Coast;;;;;;;;;x
mobilize_by_air;Airplane Mobilization;;;;;;;;;x
mobilize_by_air_desc;you get a mob stack, and you get a mob stack!;;;;;;;;;x
national_idea_timer;National Idea Timer;;;;;;;;;x
national_idea_timer_desc;After this modifier expires, you may pick another national idea.;;;;;;;;;x
naval_idea;Naval Idea;;;;;;;;;x
naval_idea_desc;Modifiers to improve the navy. These may be picked every 15 years.;;;;;;;;;x
economic_idea;Economic Idea;;;;;;;;;x
economic_idea_desc;Modifiers to improve the economy. These may be picked every 15 years.;;;;;;;;;x
industry_idea;Industry Idea;;;;;;;;;x
industry_idea_desc;Modifiers to improve the industry. These may be picked every 15 years.;;;;;;;;;x
political_idea;Political Idea;;;;;;;;;x
political_idea_desc;Modifier to improve the political situation. These may be picked every 15 years.;;;;;;;;;x
diplomatic_idea;Diplomatic Idea;;;;;;;;;x
diplomatic_idea_desc;Modifier to improve the diplomatic situation. These may be picked every 15 years.;;;;;;;;;x
army_quantity_idea;Quantity Idea;;;;;;;;;x
army_quantity_idea_desc;Modifier to improve army quantity & logistics. These may be picked every 15 years.;;;;;;;;;x
army_quality_idea;Quality Idea;;;;;;;;;x
army_quality_idea_desc;Modifier to improve army quality. These may be picked every 15 years.;;;;;;;;;x
YUA;Yuan;;;;;;;;;x
YUA_ADJ;Yuan;;;;;;;;;x
YUA_absolute_monarchy;Yuan Dynasty;;;;;;;;;x
YUA_prussian_constitutionalism;Yuan Dynasty;;;;;;;;;x
YUA_hms_government;Yuan Dynasty;;;;;;;;;x
YUA_adjective;Yuan;;;;;;;;;x
PROV3249;Rodrigues;;;;;;;;;x
PROV3250;Ilha de Santo Antão;;;;;;;;;x
PROV3251;Boa Vista;;;;;;;;;x
nv_none;None;;;;;;;;;x
NET_1413;West Java;;;;;;;;;x
NET_1418;East Java;;;;;;;;;x
tech_school_timer;Tech School Timer;;;;;;;;;x
tech_school_timer_desc;After this modifier expires, you may change your tech school again.;;;;;;;;;x
PBL;Peru-Bolivia;;;;;;;;;x
PBL_ADJ;Peru-Bolivian;;;;;;;;;x
INC;Incan Republic;;;;;;;;;x
INC_ADJ;Incan;;;;;;;;;x
INC_absolute_monarchy;Incan Empire;;;;;;;;;x
INC_prussian_constitutionalism;Incan Empire;;;;;;;;;x
INC_hms_government;Incan Empire;;;;;;;;;x
BNK;Bankland;;;;;;;;;x
BNK_ADJ;Banker;;;;;;;;;x
bankers;Bankers;;;;;;;;;x
PRU_544;West Pomerania;;;;;;;;;x
PRU_546;East Pomerania;;;;;;;;;x
acquire_state_tiny_desc;Aquire a tiny enemy §Ystate§W;;;;;;;;;x
acquire_state_tiny;Acquire tiny state;;;;;;;;;x
acquire_state_tiny_short;Acquire tiny state $STATE$;;;;;;;;;x
acquire_state_tiny_setup;Acquire tiny state $STATE$ from $RECIPIENT$;;;;;;;;;x
acquire_state_small_desc;Acquire a small enemy §Ystate§W;;;;;;;;;x
acquire_state_small;Acquire small state;;;;;;;;;x
acquire_state_small_short;Acquire small state $STATE$;;;;;;;;;x
acquire_state_small_setup;Acquire small state $STATE$ from $RECIPIENT$;;;;;;;;;x
acquire_state_medium_desc;Acquire a medium enemy §Ystate§W;;;;;;;;;x
acquire_state_medium;Acquire medium state;;;;;;;;;x
acquire_state_medium_short;Acquire medium state $STATE$;;;;;;;;;x
acquire_state_medium_setup;Acquire medium state $STATE$ from $RECIPIENT$;;;;;;;;;x
acquire_state_large_desc;Acquire a large enemy §Ystate§W;;;;;;;;;x
acquire_state_large;Acquire large state;;;;;;;;;x
acquire_state_large_short;Acquire large state $STATE$;;;;;;;;;x
acquire_state_large_setup;Acquire large state $STATE$ from $RECIPIENT$;;;;;;;;;x
acquire_state_huge_desc;Acquire a huge enemy §Ystate§W;;;;;;;;;x
acquire_state_huge;Acquire huge state;;;;;;;;;x
acquire_state_huge_short;Acquire huge state $STATE$;;;;;;;;;x
acquire_state_huge_setup;Acquire huge state $STATE$ from $RECIPIENT$;;;;;;;;;x
china_unciv_modifier;Uncivilized China;;;;;;;;;x;;;;
china_civ_modifier;Civilized China;;;;;;;;;x;;;;
china_unciv_modifier_desc;Uncivilized China;;;;;;;;;x;;;;
china_civ_modifier_desc;Civilized China;;;;;;;;;x;;;;
corrupt_administrative_state;Corrupt Administration;;;;;;;;;x;;;;
incompetent_administrative_state;Incompetent Administration;;;;;;;;;x;;;;
effective_administrative_state;Effective Administration;;;;;;;;;x;;;;
administrative_reform;Administrative Professionalism;;;;;;;;;x;;;;
corrupt_administrative_state_desc;§GThis reform can be advanced via decision!§!\nThe bureaucracy works in bad faith for their own personal gain. This may be paired with systematic incompetence, but it certaintly hampers our state's ability to govern effectively regardless.;;;;;;;;;x;;;;
incompetent_administrative_state_desc;§GThis reform can be advanced via decision!§!\nThe bureaucracy genuinely works as well as it can for the good of the state and the nation as a whole, however due to either a lack of funding, bad systemic policies, or simply an incompetent bureaucratic base, it simply is not able to perform the tasks required of it professionally, promptly, and properly.;;;;;;;;;x;;;;
effective_administrative_state_desc;§GThis reform can be advanced via decision!§!\nThe bureaucracy quickly, professionally, and efficiently executes what is demanded of it by our government. This will certaintly save a lot of headaches, both of our average people, capitalists, government workers and leadership!;;;;;;;;;x;;;;
place_in_the_sun_small;Place In The Sun (Small);;;;;;;;;x;;;;
place_in_the_sun_small_desc;Acquire a small (<300k pop) enemy §Ycolony§W;;;;;;;;;x;;;;
place_in_the_sun_small_short;Acquire small colony $STATE$;;;;;;;;;x;;;;
place_in_the_sun_small_setup;Acquire small colony $STATE$ from $RECIPIENT$;;;;;;;;;x;;;;
place_in_the_sun_large;Place In The Sun (Large);;;;;;;;;x;;;;
place_in_the_sun_large_desc;Acquire a large (300k+ pop) enemy §Ycolony§W;;;;;;;;;x;;;;
place_in_the_sun_large_short;Acquire large colony $STATE$;;;;;;;;;x;;;;
place_in_the_sun_large_setup;Acquire large colony $STATE$ from $RECIPIENT$;;;;;;;;;x;;;;
MEX_north_america_win;North American Hegemony;;;;;;;;;x;;;;
MEX_north_america_win;Achieved North American Hegemony;;;;;;;;;x;;;;
naval_ideas;Naval Idea;;;;;;;;;x;;;;
naval_ideas_desc;Naval Idea;;;;;;;;;x;;;;
minor_conquest;Minor Conquest;;;;;;;;;x;;;;
minor_conquest_desc;Conquer a small nation.;;;;;;;;;x;;;;
minor_conquest_short;Conquer $RECIPIENT$;;;;;;;;;x;;;;
minor_conquest_setup;Conquer $RECIPIENT$;;;;;;;;;x;;;;
healing_wounds;Healing Wounds;;;;;;;;;x;;;;
healing_wounds_desc;We are still recovering from the deep divisions caused by the slavery debate and subsequent civil war.;;;;;;;;;x;;;;
southern_riots;The Bleeding South;;;;;;;;;x;;;;
southern_riots_desc;Due to our expansion of civil rights to southern negroes, the south is engulfed in white riots and negro counter-riots. The southern whites say we have overstepped the bounds of states' rights, while the southern negroes claim we have not gone far enough, and have not done enough to put down white riots. We must simply pray that the anger burns itself out, and that peace soon returns to the southern states.;;;;;;;;;x;;;;
extra_mob_1;Patriotic Fervor;;;;;;
extra_mob_1_desc;Patriotic Fervor;;;;;;
extra_mob_2;Patriotic Fervor;;;;;;
extra_mob_2_desc;Patriotic Fervor;;;;;;
PROV3252;Nerchinsk;;;;;;
PROV3253;Mogocha;;;;;;
corn_laws;Corn Laws;;;;;;
corn_laws_desc;The Corn Laws were a set of laws blocking import of cheap corn.;;;;;;
GHO;Ghostland;;;;;;
GHO_ADJ;Ghostland;;;;;;
PROV3254;Chita;;;;;;
PROV3255;Kurumkan;;;;;;;
TNY;Tiny State Flag\n\n§WThis tag exists to tell you which cb to use for this state. The sizes are as follows:\n\nearly (pre 1866):\ntiny - <125k\nsmall - >125k <250k\nmedium - >250k <350k\nlarge - >350k <550k\nhuge - >550k\n\nmiddle (pre 1896 post 1866):\ntiny - <200k\nsmall - >200k <375k\nmedium - >375k <600k\nlarge - >600k <800k\nhuge - >800k\n\nlate (post 1896):\ntiny - <300k\nsmall - >300k <550k\nmedium - >550k <800k\nlarge - >800k <1250k\nhuge - >1250k;;;;;;
SML;Small State Flag\n\n§WThis tag exists to tell you which cb to use for this state. The sizes are as follows:\n\nearly (pre 1866):\ntiny - <125k\nsmall - >125k <250k\nmedium - >250k <350k\nlarge - >350k <550k\nhuge - >550k\n\nmiddle (pre 1896 post 1866):\ntiny - <200k\nsmall - >200k <375k\nmedium - >375k <600k\nlarge - >600k <800k\nhuge - >800k\n\nlate (post 1896):\ntiny - <300k\nsmall - >300k <550k\nmedium - >550k <800k\nlarge - >800k <1250k\nhuge - >1250k;;;;;;
MED;Medium State Flag\n\n§WThis tag exists to tell you which cb to use for this state. The sizes are as follows:\n\nearly (pre 1866):\ntiny - <125k\nsmall - >125k <250k\nmedium - >250k <350k\nlarge - >350k <550k\nhuge - >550k\n\nmiddle (pre 1896 post 1866):\ntiny - <200k\nsmall - >200k <375k\nmedium - >375k <600k\nlarge - >600k <800k\nhuge - >800k\n\nlate (post 1896):\ntiny - <300k\nsmall - >300k <550k\nmedium - >550k <800k\nlarge - >800k <1250k\nhuge - >1250k;;;;;;
LRG;Large State Flag\n\n§WThis tag exists to tell you which cb to use for this state. The sizes are as follows:\n\nearly (pre 1866):\ntiny - <125k\nsmall - >125k <250k\nmedium - >250k <350k\nlarge - >350k <550k\nhuge - >550k\n\nmiddle (pre 1896 post 1866):\ntiny - <200k\nsmall - >200k <375k\nmedium - >375k <600k\nlarge - >600k <800k\nhuge - >800k\n\nlate (post 1896):\ntiny - <300k\nsmall - >300k <550k\nmedium - >550k <800k\nlarge - >800k <1250k\nhuge - >1250k;;;;;;
HUG;Huge State Flag\n\n§WThis tag exists to tell you which cb to use for this state. The sizes are as follows:\n\nearly (pre 1866):\ntiny - <125k\nsmall - >125k <250k\nmedium - >250k <350k\nlarge - >350k <550k\nhuge - >550k\n\nmiddle (pre 1896 post 1866):\ntiny - <200k\nsmall - >200k <375k\nmedium - >375k <600k\nlarge - >600k <800k\nhuge - >800k\n\nlate (post 1896):\ntiny - <300k\nsmall - >300k <550k\nmedium - >550k <800k\nlarge - >800k <1250k\nhuge - >1250k;;;;;;
colonial_migration_idea;Colonial Migration Idea;;;;;;
colonial_migration_idea_desc;This idea enables a decision to toggle Colonial Migration.;;;;;;
education_idea;Education Idea;;;;;;
education_idea_desc;Modifier to improve education efficiency. These may be picked every 15 years.;;;;;;
promotion_idea;Promotion Idea;;;;;;
promotion_idea_desc;Modifier to improve promotion rates (the effect is visible if you click a pop and hover the number of monthly promotions). These may be picked every 15 years.;;;;;;
JAP_1672;West Tohoku;;;;;;
JAP_1669;East Tohoku;;;;;;
JAP_1674;North Kanto;;;;;;
JAP_1649;South Kanto;;;;;;
JAP_1645;North Chubu;;;;;;
JAP_1675;South Chubu;;;;;;
JAP_1655;Kyoto;;;;;;
JAP_1658;Nara;;;;;;
JAP_1659;Kobe-Matsue;;;;;;
JAP_1640;Chugoku;;;;;;
JAP_1660;Nagasaki;;;;;;
JAP_1664;Kyushu;;;;;;
JAP_1665;Shikoku;;;;;;
PROV3256;Irkutsk;;;;;;
province_selector;Province Selector;;;;;;
province_attract_immigrants;Migration Focus;;;;;;
assim_focus;Assimilation Focus;;;;;;;
ASS;Assimilation Focus\n§W---------------\nThis tag exists to make sure that the effects of the assimilation focus from the province modifier is applied properly.§!				\n;;;;;;;
ASS_ADJ;Assimilation;;;;;;
CHI_1552;North Manchuria;;;;;;
assim_idea;Assimilation Idea;;;;;;
assim_idea_desc;Modifier to improve assimilation rates. These may be picked every 15 years.;;;;;;
